# Mem_cnnin1 words=256 bits=64 mux=4 
# drive=6 frequency=1.000
# ring width=4.000
name      	ff_1p32v_m40c		ff_1p65v_125c		tt_1p2v_25c		ss_1p08v_125c	
S		N		N		N		N
geomx     	734.440   	734.440   	734.440   	734.440   
geomy     	231.010   	231.010   	231.010   	231.010   
ring_size 	10.240    	10.240    	10.240    	10.240    
volt      	1.320     	1.650     	1.200     	1.080     
temp      	-40.000   	125.000   	25.000    	125.000   
tcyc      	1.542     	1.381     	3.285     	6.837     
ta        	1.353     	1.126     	3.029     	6.478     
tas       	0.476     	0.490     	0.962     	1.934     
tah       	0.210     	0.182     	0.220     	0.230     
tcs       	0.617     	0.469     	1.184     	2.140     
tch       	0.330     	0.235     	0.450     	0.500     
tws       	0.808     	0.590     	1.446     	2.665     
twh       	0.410     	0.310     	0.450     	0.630     
tds       	0.568     	0.415     	0.976     	1.891     
tdh       	0.422     	0.323     	0.450     	0.630     
tckh      	0.100     	0.082     	0.218     	0.469     
tckl      	0.117     	0.088     	0.319     	0.700     
tckr      	0.750     	0.750     	1.000     	1.500     
tcc       	1.161     	0.982     	2.558     	5.142     
icap_a    	0.016     	0.017     	0.017     	0.017     
icap_d    	0.002     	0.002     	0.002     	0.002     
icap_clk  	0.125     	0.132     	0.133     	0.135     
icap_cen  	0.010     	0.010     	0.010     	0.010     
icap_wen  	0.010     	0.010     	0.010     	0.010     
load_q    	0.739     	0.640     	1.543     	2.945     
icc       	8.05E-2   	3.23E-2   	7.49E-2   	6.66E-2   
icc_r     	6.89E-2   	4.44E-2   	6.32E-2   	5.49E-2   
icc_w     	9.20E-2   	2.02E-2   	8.66E-2   	7.84E-2   
icc_peak  	211.107   	261.805   	110.012   	50.699    
icc_desel 	1.01E-2   	1.54E-2   	9.65E-3   	9.51E-3   
icc_standby	9.04E-4   	6.43E-1   	2.13E-3   	2.66E-2   
pwn_ck    	10.000    	10.000    	10.000    	10.000    
vn_ck     	0.879     	0.866     	0.790     	0.683     
vn_pwr    	0.132     	0.165     	0.120     	0.108     
vn_gnd    	0.132     	0.165     	0.120     	0.108     
