# CNN_outMEM words=512 bits=64 mux=4 
# drive=6 frequency=1.000
# ring width=4.000
name      	ff_1p32v_m40c		ff_1p65v_125c		tt_1p2v_25c		ss_1p08v_125c	
S		N		N		N		N
geomx     	740.800   	740.800   	740.800   	740.800   
geomy     	375.650   	375.650   	375.650   	375.650   
ring_size 	10.240    	10.240    	10.240    	10.240    
volt      	1.320     	1.650     	1.200     	1.080     
temp      	-40.000   	125.000   	25.000    	125.000   
tcyc      	1.670     	1.513     	3.596     	7.572     
ta        	1.489     	1.265     	3.360     	7.247     
tas       	0.471     	0.486     	0.952     	1.918     
tah       	0.210     	0.182     	0.220     	0.230     
tcs       	0.617     	0.469     	1.185     	2.140     
tch       	0.330     	0.235     	0.450     	0.500     
tws       	0.807     	0.589     	1.445     	2.664     
twh       	0.410     	0.310     	0.450     	0.630     
tds       	0.569     	0.414     	0.974     	1.891     
tdh       	0.423     	0.324     	0.450     	0.630     
tckh      	0.100     	0.082     	0.218     	0.469     
tckl      	0.117     	0.088     	0.319     	0.700     
tckr      	0.750     	0.750     	1.000     	1.500     
tcc       	1.298     	1.131     	2.891     	5.917     
icap_a    	0.016     	0.017     	0.017     	0.017     
icap_d    	0.002     	0.002     	0.002     	0.002     
icap_clk  	0.125     	0.132     	0.133     	0.135     
icap_cen  	0.010     	0.010     	0.010     	0.010     
icap_wen  	0.010     	0.010     	0.010     	0.010     
load_q    	0.739     	0.640     	1.543     	2.945     
icc       	9.27E-2   	4.85E-2   	8.62E-2   	7.67E-2   
icc_r     	7.63E-2   	5.43E-2   	7.00E-2   	6.07E-2   
icc_w     	1.09E-1   	4.28E-2   	1.02E-1   	9.27E-2   
icc_peak  	208.408   	259.559   	107.141   	49.478    
icc_desel 	1.09E-2   	1.64E-2   	1.04E-2   	1.02E-2   
icc_standby	1.39E-3   	2.79E-1   	2.22E-3   	2.71E-2   
pwn_ck    	10.000    	10.000    	10.000    	10.000    
vn_ck     	0.879     	0.866     	0.790     	0.683     
vn_pwr    	0.132     	0.165     	0.120     	0.108     
vn_gnd    	0.132     	0.165     	0.120     	0.108     
